team,coach,appointed_year,tenure_years
Algeria,Vladimir Petković,2024,2
Argentina,Lionel Scaloni,2018,8
Australia,Tony Popovic,2024,2
Austria,Ralf Rangnick,2022,4
Belgium,Rudi Garcia,2025,1
Bosnia and Herzegovina,Sergej Barbarez,2024,2
Brazil,Carlo Ancelotti,2025,1
Canada,Jesse Marsch,2024,2
Cape Verde,Bubista,2020,6
Colombia,Néstor Lorenzo,2022,4
Croatia,Zlatko Dalić,2017,9
Curaçao,Dick Advocaat,2024,2
Czech Republic,Miroslav Koubek,2024,2
DR Congo,Sébastien Desabre,2022,4
Ecuador,Sebastián Beccacece,2024,2
Egypt,Hossam Hassan,2024,2
England,Thomas Tuchel,2025,1
France,Didier Deschamps,2012,14
Germany,Julian Nagelsmann,2023,3
Ghana,Otto Addo,2024,2
Haiti,Sébastien Migné,2024,2
Iran,Amir Ghalenoei,2023,3
Iraq,Graham Arnold,2025,1
Ivory Coast,Emerse Faé,2024,2
Japan,Hajime Moriyasu,2018,8
Jordan,Jamal Sellami,2024,2
South Korea,Hong Myung-bo,2024,2
Mexico,Javier Aguirre,2024,2
Morocco,Walid Regragui,2022,4
Netherlands,Ronald Koeman,2023,3
New Zealand,Darren Bazeley,2023,3
Norway,Ståle Solbakken,2020,6
Panama,Thomas Christiansen,2020,6
Paraguay,Gustavo Alfaro,2024,2
Portugal,Roberto Martínez,2023,3
Qatar,Julen Lopetegui,2025,1
Saudi Arabia,Giorgos Donis,2025,1
Scotland,Steve Clarke,2019,7
Senegal,Pape Thiaw,2024,2
South Africa,Hugo Broos,2021,5
Spain,Luis de la Fuente,2022,4
Sweden,Graham Potter,2025,1
Switzerland,Murat Yakin,2021,5
Tunisia,Sami Trabelsi,2025,1
Turkey,Vincenzo Montella,2023,3
Uruguay,Marcelo Bielsa,2023,3
United States,Mauricio Pochettino,2024,2
Uzbekistan,Fabio Cannavaro,2025,1
