team,players_african_descent,dual_heritage_players,total_squad,notes
France,15,18,26,Largest African diaspora pool in football
England,8,12,26,Nigerian/Jamaican/Ghanaian heritage strong
Belgium,8,10,26,Congolese/Moroccan heritage
Netherlands,9,11,26,Surinamese/Antillean/Moroccan heritage
Germany,5,8,26,Turkish/African/Eastern European mix
Switzerland,4,9,26,Balkan/African diaspora
Sweden,6,8,26,East African/Balkan heritage growing
Austria,2,4,26,Limited diaspora
Portugal,4,6,26,Angolan/Mozambican/Cape Verdean heritage
United States,6,10,26,Very diverse pool
Canada,5,8,26,Caribbean/African heritage
Spain,2,3,26,Relatively homogeneous
Croatia,0,1,26,Very homogeneous
Norway,3,5,26,Growing African diaspora
Italy,3,4,26,Growing but still limited
Turkey,1,3,26,Mostly Turkish heritage
Japan,0,1,26,Very homogeneous
South Korea,0,0,26,Homogeneous
Argentina,0,0,26,Homogeneous
Brazil,14,14,26,Highly mixed-race society
Uruguay,2,2,26,Small Afro-Uruguayan community
Colombia,6,6,26,Afro-Colombian heritage
Ecuador,8,8,26,Strong Afro-Ecuadorian presence
Mexico,1,2,26,Limited diversity
Paraguay,0,1,26,Mostly mestizo
Australia,1,3,26,Growing diversity
Scotland,1,2,26,Limited
Czech Republic,0,1,26,Homogeneous
Bosnia and Herzegovina,0,0,26,Homogeneous
Morocco,0,2,26,North African / some sub-Saharan
Algeria,0,1,26,North African
Tunisia,0,1,26,North African
Senegal,26,26,26,Fully African
Ivory Coast,26,26,26,Fully African
Ghana,26,26,26,Fully African
South Africa,18,18,26,Mixed demographics
Egypt,0,0,26,North African/Arab
DR Congo,26,26,26,Fully African
Cape Verde,24,24,26,Afro-Portuguese mix
Iran,0,0,26,Homogeneous
Iraq,0,0,26,Homogeneous
Qatar,2,4,26,Naturalized players
Saudi Arabia,1,2,26,Limited
New Zealand,2,4,26,Polynesian/diverse
Panama,8,8,26,Afro-Panamanian strong
Haiti,26,26,26,Fully African descent
Jordan,0,0,26,Homogeneous
Curaçao,20,20,26,Caribbean African descent
Uzbekistan,0,0,26,Homogeneous
